head_label,tail_label,score,kg_score,kg_score_norm,meta_score,rank
250030,241910,0.8803571428571428,-6.6455278396606445,1.0,0.5214285714285714,2
222440,209120,0.8803571428571428,-6.49881649017334,1.0,0.5214285714285714,2
232090,227100,0.8801724137931035,-6.30446720123291,1.0,0.5206896551724138,1
203160,235600,0.8801724137931035,-6.430329322814941,1.0,0.5206896551724138,1
201810,99830,0.8801724137931035,-5.973479270935059,1.0,0.5206896551724138,1
234140,40990,0.8801724137931035,-6.520359039306641,1.0,0.5206896551724138,1
95400,319910,0.8801724137931035,-6.482616901397705,1.0,0.5206896551724138,1
200710,239070,0.8801724137931035,-6.408198833465576,1.0,0.5206896551724138,1
223710,238320,0.8801724137931035,-6.42349100112915,1.0,0.5206896551724138,1
249130,207490,0.8801724137931035,-6.480568885803223,1.0,0.5206896551724138,1
258520,204060,0.8801724137931035,-6.167635440826416,1.0,0.5206896551724138,1
311340,201870,0.8801724137931035,-6.307739734649658,1.0,0.5206896551724138,1
253250,252250,0.8801724137931035,-6.5879807472229,1.0,0.5206896551724138,1
45740,313690,0.8801724137931035,-6.359576225280762,1.0,0.5206896551724138,1
287700,48190,0.8801724137931035,-6.370875358581543,1.0,0.5206896551724138,1
41000,301970,0.8801724137931035,-6.297224998474121,1.0,0.5206896551724138,1
204100,301910,0.8801724137931035,-6.508846282958984,1.0,0.5206896551724138,1
305940,344850,0.8801724137931035,-6.325596332550049,1.0,0.5206896551724138,1
214510,238370,0.8801724137931035,-6.6233038902282715,1.0,0.5206896551724138,1
113200,323220,0.8801724137931035,-5.95802640914917,1.0,0.5206896551724138,1
229580,221910,0.8801724137931035,-6.124501705169678,1.0,0.5206896551724138,1
291650,39190,0.8801724137931035,-6.126931667327881,1.0,0.5206896551724138,1
233450,340150,0.8801724137931035,-5.932446479797363,1.0,0.5206896551724138,1
231160,48000,0.8801724137931035,-6.524478435516357,1.0,0.5206896551724138,1
208730,39500,0.8801724137931035,-6.25396728515625,1.0,0.5206896551724138,1
1938090,350080,0.8801724137931035,-6.557779788970947,1.0,0.5206896551724138,1
291010,282140,0.8801724137931035,-6.328841686248779,1.0,0.5206896551724138,1
202970,55100,0.8801724137931035,-6.414608001708984,1.0,0.5206896551724138,1
239070,364420,0.8801724137931035,-6.2332234382629395,1.0,0.5206896551724138,1
230700,350970,0.8801724137931035,-6.192084789276123,1.0,0.5206896551724138,1
239200,238320,0.8801724137931035,-6.284299373626709,1.0,0.5206896551724138,1
242920,253250,0.8801724137931035,-6.423340797424316,1.0,0.5206896551724138,1
327220,292910,0.8799107142857143,-6.407486438751221,1.0,0.5196428571428572,1
